Dataset,Drift_Days,Baseline_Acc,Accuracy,Accuracy_Drop,Drift_Magnitude
CIFAR-10,0,10.440000000000001,11.14,-0.6999999999999993,0.0
CIFAR-10,30,10.440000000000001,11.0,-0.5599999999999987,0.2738612787525831
CIFAR-100,0,1.08,1.24,-0.15999999999999992,0.0
CIFAR-100,30,1.08,1.24,-0.15999999999999992,0.2738612787525831
ImageNet,0,10.72,10.879999999999999,-0.15999999999999837,0.0
ImageNet,30,10.72,10.8,-0.08000000000000007,0.2738612787525831
