Device_Model,Accuracy,Accuracy_Drop
IdealDevice,12.32,-0.14000000000000057
NormalIndependentDevice,12.540000000000001,-0.3600000000000012
NormalProportionalDevice,12.16,0.019999999999999574
RRAMMilo,12.839999999999998,-0.6599999999999984
