Drift_Days,Accuracy,Accuracy_Drop
0,12.24,-0.0600000000000005
1,11.799999999999999,0.3800000000000008
3,12.42,-0.2400000000000002
7,12.120000000000001,0.05999999999999872
14,12.86,-0.6799999999999997
30,12.26,-0.08000000000000007
