Dataset,Sigma_G_pct,N_trials,Acc_mean,Acc_std,Acc_min,Acc_max,CI95_lower,CI95_upper
CIFAR-10,0.0,30,95.19999999999996,2.890758581290855e-14,95.19999999999999,95.19999999999999,95.19999999999995,95.19999999999997
CIFAR-10,1.0,30,94.59666666666666,0.48953414401951395,93.30000000000001,95.39999999999999,94.42148912301234,94.77184421032099
CIFAR-10,2.0,30,92.39000000000001,1.619354916263752,87.5,94.3,91.81052128538691,92.96947871461312
CIFAR-10,5.0,30,77.69666666666667,7.515844565997216,52.7,87.4,75.00715622976713,80.38617710356621
CIFAR-10,7.5,30,64.66333333333333,11.496280757895912,35.3,79.0,60.54944209830537,68.77722456836128
CIFAR-10,10.0,30,48.01333333333334,10.319574080135395,23.7,66.5,44.320521175076635,51.70614549159005
CIFAR-10,15.0,30,25.19,6.220730082443755,15.8,44.5,22.96394032900046,27.41605967099954
CIFAR-10,20.0,30,15.746666666666664,4.6023781958321575,7.5,25.900000000000002,14.099726780728894,17.393606552604435
