Dataset,Crossbar_Size,Device_Model,Num_Classes,Accuracy_Day0,Accuracy_Day30,Baseline_Acc,Degradation_Day0,Degradation_Day30
CIFAR-10,512×512,IdealDevice,10,95.32000000000001,95.30999999999999,95.17,-0.15000000000000568,-0.13999999999998636
CIFAR-10,512×512,RRAMMilo,10,94.31,94.62,95.17,0.8599999999999994,0.5499999999999972
CIFAR-10,256×256,IdealDevice,10,95.32000000000001,95.26,95.17,-0.15000000000000568,-0.09000000000000341
CIFAR-10,256×256,RRAMMilo,10,94.39,94.44,95.17,0.7800000000000011,0.730000000000004
CIFAR-10,128×128,IdealDevice,10,95.32000000000001,95.26,95.17,-0.15000000000000568,-0.09000000000000341
CIFAR-10,128×128,RRAMMilo,10,94.62,94.53,95.17,0.5499999999999972,0.6400000000000006
CIFAR-10,64×64,IdealDevice,10,95.32000000000001,95.27,95.17,-0.15000000000000568,-0.09999999999999432
CIFAR-10,64×64,RRAMMilo,10,94.63000000000001,94.59,95.17,0.539999999999992,0.5799999999999983
