Dataset,ADC_bits,DAC_bits,Baseline_Acc,Accuracy,Accuracy_Drop
CIFAR-10,4,4,95.17,76.55,18.620000000000005
CIFAR-10,4,6,95.17,92.53,2.6400000000000006
CIFAR-10,4,8,95.17,95.23,-0.060000000000002274
CIFAR-10,6,4,95.17,77.42999999999999,17.74000000000001
CIFAR-10,6,6,95.17,92.58999999999999,2.5800000000000125
CIFAR-10,6,8,95.17,95.36,-0.18999999999999773
CIFAR-10,8,4,95.17,77.52,17.650000000000006
CIFAR-10,8,6,95.17,92.62,2.549999999999997
CIFAR-10,8,8,95.17,95.32000000000001,-0.15000000000000568
