Dataset,Drift_Days,Baseline_Acc,Accuracy,Accuracy_Drop,Drift_Magnitude
CIFAR-10,0,95.17,94.38,0.7900000000000063,0.0
CIFAR-10,30,95.17,94.58,0.5900000000000034,0.05477225575051661
