Dataset,Device_Model,Baseline_Acc,Accuracy,Accuracy_Drop
CIFAR-10,IdealDevice,95.17,95.32000000000001,-0.15000000000000568
CIFAR-10,RRAMMilo,95.17,94.44,0.730000000000004
