Dataset,Drift_Days,Baseline_Acc,Accuracy,Accuracy_Drop,Drift_Magnitude
CIFAR-100,0,1.08,1.24,-0.15999999999999992,0.0
CIFAR-100,30,1.08,1.24,-0.15999999999999992,0.2738612787525831
