Dataset,Drift_Days,Baseline_Acc,Accuracy,Accuracy_Drop,Drift_Magnitude
CIFAR-10,0,10.440000000000001,11.14,-0.6999999999999993,0.0
CIFAR-10,30,10.440000000000001,11.0,-0.5599999999999987,0.2738612787525831
