Dataset,Crossbar_Size,Device_Model,Num_Classes,Accuracy_Day0,Accuracy_Day30,Baseline_Acc,Degradation_Day0,Degradation_Day30
CIFAR-10,512×512,IdealDevice,10,92.22,92.27,92.72,0.5,0.45000000000000284
CIFAR-10,512×512,RRAMMilo,10,90.8,90.75,92.72,1.9200000000000017,1.9699999999999989
CIFAR-10,256×256,IdealDevice,10,92.22,92.2,92.72,0.5,0.519999999999996
CIFAR-10,256×256,RRAMMilo,10,90.88000000000001,91.01,92.72,1.8399999999999892,1.7099999999999937
CIFAR-10,128×128,IdealDevice,10,92.22,92.22,92.72,0.5,0.5
CIFAR-10,128×128,RRAMMilo,10,90.79,90.93,92.72,1.9299999999999926,1.789999999999992
CIFAR-10,64×64,IdealDevice,10,92.22,92.22,92.72,0.5,0.5
CIFAR-10,64×64,RRAMMilo,10,90.81,90.69,92.72,1.9099999999999966,2.030000000000001
