Dataset,Drift_Days,Baseline_Acc,Accuracy,Accuracy_Drop,Drift_Magnitude
CIFAR-10,0,92.72,90.63,2.0900000000000034,0.0
CIFAR-10,30,92.72,90.8,1.9200000000000017,0.05477225575051661
