Dataset,ADC_bits,DAC_bits,Baseline_Acc,Accuracy,Accuracy_Drop
CIFAR-10,4,4,92.72,59.760000000000005,32.959999999999994
CIFAR-10,4,6,92.72,87.16000000000001,5.559999999999988
CIFAR-10,4,8,92.72,92.36999999999999,0.3500000000000085
CIFAR-10,6,4,92.72,61.86000000000001,30.859999999999992
CIFAR-10,6,6,92.72,87.39,5.329999999999998
CIFAR-10,6,8,92.72,92.32000000000001,0.3999999999999915
CIFAR-10,8,4,92.72,62.1,30.619999999999997
CIFAR-10,8,6,92.72,87.29,5.429999999999993
CIFAR-10,8,8,92.72,92.22,0.5
